Graph,"('bomb', 'bombing')","('bomb', 'marathoner')","('bomb', 'marathon')","('bomb', 'terroristic')","('bomb', 'terrorism')","('bomb', 'terror')","('bomb', 'suspect')","('bomb', 'kill')","('bomb', 'injure')","('bomb', 'car')","('bomb', 'kidnap')","('bomb', 'shooting')","('bomb', 'steal')","('bomb', 'terrorist')","('bombing', 'bomb')","('bombing', 'marathoner')","('bombing', 'marathon')","('bombing', 'terroristic')","('bombing', 'terrorism')","('bombing', 'terror')","('bombing', 'suspect')","('bombing', 'kill')","('bombing', 'injure')","('bombing', 'car')","('bombing', 'kidnap')","('bombing', 'shooting')","('bombing', 'steal')","('bombing', 'terrorist')","('marathoner', 'bomb')","('marathoner', 'bombing')","('marathoner', 'marathon')","('marathoner', 'terroristic')","('marathoner', 'terrorism')","('marathoner', 'terror')","('marathoner', 'suspect')","('marathoner', 'kill')","('marathoner', 'injure')","('marathoner', 'car')","('marathoner', 'kidnap')","('marathoner', 'shooting')","('marathoner', 'steal')","('marathoner', 'terrorist')","('marathon', 'bomb')","('marathon', 'bombing')","('marathon', 'marathoner')","('marathon', 'terroristic')","('marathon', 'terrorism')","('marathon', 'terror')","('marathon', 'suspect')","('marathon', 'kill')","('marathon', 'injure')","('marathon', 'car')","('marathon', 'kidnap')","('marathon', 'shooting')","('marathon', 'steal')","('marathon', 'terrorist')","('terroristic', 'bomb')","('terroristic', 'bombing')","('terroristic', 'marathoner')","('terroristic', 'marathon')","('terroristic', 'terrorism')","('terroristic', 'terror')","('terroristic', 'suspect')","('terroristic', 'kill')","('terroristic', 'injure')","('terroristic', 'car')","('terroristic', 'kidnap')","('terroristic', 'shooting')","('terroristic', 'steal')","('terroristic', 'terrorist')","('terrorism', 'bomb')","('terrorism', 'bombing')","('terrorism', 'marathoner')","('terrorism', 'marathon')","('terrorism', 'terroristic')","('terrorism', 'terror')","('terrorism', 'suspect')","('terrorism', 'kill')","('terrorism', 'injure')","('terrorism', 'car')","('terrorism', 'kidnap')","('terrorism', 'shooting')","('terrorism', 'steal')","('terrorism', 'terrorist')","('terror', 'bomb')","('terror', 'bombing')","('terror', 'marathoner')","('terror', 'marathon')","('terror', 'terroristic')","('terror', 'terrorism')","('terror', 'suspect')","('terror', 'kill')","('terror', 'injure')","('terror', 'car')","('terror', 'kidnap')","('terror', 'shooting')","('terror', 'steal')","('terror', 'terrorist')","('suspect', 'bomb')","('suspect', 'bombing')","('suspect', 'marathoner')","('suspect', 'marathon')","('suspect', 'terroristic')","('suspect', 'terrorism')","('suspect', 'terror')","('suspect', 'kill')","('suspect', 'injure')","('suspect', 'car')","('suspect', 'kidnap')","('suspect', 'shooting')","('suspect', 'steal')","('suspect', 'terrorist')","('kill', 'bomb')","('kill', 'bombing')","('kill', 'marathoner')","('kill', 'marathon')","('kill', 'terroristic')","('kill', 'terrorism')","('kill', 'terror')","('kill', 'suspect')","('kill', 'injure')","('kill', 'car')","('kill', 'kidnap')","('kill', 'shooting')","('kill', 'steal')","('kill', 'terrorist')","('injure', 'bomb')","('injure', 'bombing')","('injure', 'marathoner')","('injure', 'marathon')","('injure', 'terroristic')","('injure', 'terrorism')","('injure', 'terror')","('injure', 'suspect')","('injure', 'kill')","('injure', 'car')","('injure', 'kidnap')","('injure', 'shooting')","('injure', 'steal')","('injure', 'terrorist')","('car', 'bomb')","('car', 'bombing')","('car', 'marathoner')","('car', 'marathon')","('car', 'terroristic')","('car', 'terrorism')","('car', 'terror')","('car', 'suspect')","('car', 'kill')","('car', 'injure')","('car', 'kidnap')","('car', 'shooting')","('car', 'steal')","('car', 'terrorist')","('kidnap', 'bomb')","('kidnap', 'bombing')","('kidnap', 'marathoner')","('kidnap', 'marathon')","('kidnap', 'terroristic')","('kidnap', 'terrorism')","('kidnap', 'terror')","('kidnap', 'suspect')","('kidnap', 'kill')","('kidnap', 'injure')","('kidnap', 'car')","('kidnap', 'shooting')","('kidnap', 'steal')","('kidnap', 'terrorist')","('shooting', 'bomb')","('shooting', 'bombing')","('shooting', 'marathoner')","('shooting', 'marathon')","('shooting', 'terroristic')","('shooting', 'terrorism')","('shooting', 'terror')","('shooting', 'suspect')","('shooting', 'kill')","('shooting', 'injure')","('shooting', 'car')","('shooting', 'kidnap')","('shooting', 'steal')","('shooting', 'terrorist')","('steal', 'bomb')","('steal', 'bombing')","('steal', 'marathoner')","('steal', 'marathon')","('steal', 'terroristic')","('steal', 'terrorism')","('steal', 'terror')","('steal', 'suspect')","('steal', 'kill')","('steal', 'injure')","('steal', 'car')","('steal', 'kidnap')","('steal', 'shooting')","('steal', 'terrorist')","('terrorist', 'bomb')","('terrorist', 'bombing')","('terrorist', 'marathoner')","('terrorist', 'marathon')","('terrorist', 'terroristic')","('terrorist', 'terrorism')","('terrorist', 'terror')","('terrorist', 'suspect')","('terrorist', 'kill')","('terrorist', 'injure')","('terrorist', 'car')","('terrorist', 'kidnap')","('terrorist', 'shooting')","('terrorist', 'steal')"
Graph 1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,3,1,1,1,1,1,1,2,2,2,1,2,2,1,3,3,2,2,2,2,2,3,2,3,2,1,1,1,3,2,1,1,1,1,2,2,2,2,1,2,3,3,3,3,3,2,2,2,2,3,3,3,3,1,1,3,2,3,2,2,1,1,2,3,2,2,2,1,1,2,1,3,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,1,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,1,1,2,1,3,2,2,1,1,1,2,2,2,2
Graph 2,-1,2,2,-1,-1,2,2,1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,3,2,2,3,2,3,2,3,2,2,-1,2,-1,-1,3,2,2,2,2,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,3,-1,-1,2,2,3,2,2,3,3,2,2,-1,2,2,-1,-1,2,1,2,2,2,2,2,2,1,-1,2,2,-1,-1,2,1,1,2,2,1,2,2,2,-1,3,2,-1,-1,3,2,1,2,2,2,2,3,2,-1,2,2,-1,-1,2,2,2,2,2,2,2,2,2,-1,3,2,-1,-1,2,2,2,2,2,2,2,2,2,-1,2,2,-1,-1,3,2,1,2,2,2,2,2,2,-1,3,3,-1,-1,3,2,2,2,2,2,2,2,2,-1,2,2,-1,-1,2,2,2,3,2,2,2,2
Graph 3,1,-1,1,-1,2,1,1,1,1,1,2,2,2,1,1,-1,1,-1,1,1,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,1,-1,2,1,2,2,2,2,2,2,1,1,1,-1,1,-1,2,1,1,1,2,2,2,2,1,1,1,-1,1,-1,1,1,1,1,1,2,2,2,1,1,1,-1,1,-1,2,1,1,1,1,2,1,2,1,1,1,-1,1,-1,2,1,1,1,1,2,2,2,1,1,1,-1,2,-1,2,2,1,1,1,2,2,1,2,2,2,-1,2,-1,2,2,2,2,2,2,2,2,2,2,2,-1,2,-1,2,2,2,1,2,2,2,2,2,2,2,-1,2,-1,2,2,2,2,2,1,2,2,2,1,1,-1,1,-1,1,1,1,1,1,2,2,2,2
Graph 4,-1,-1,3,3,-1,-1,3,3,3,2,-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,3,-1,-1,2,2,2,2,-1,2,3,3,3,-1,-1,3,-1,-1,2,2,3,2,-1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,2,2,-1,-1,2,3,2,-1,2,3,2,3,-1,-1,2,2,-1,-1,2,2,2,-1,2,2,3,3,-1,-1,2,3,-1,-1,3,2,2,-1,3,2,3,2,-1,-1,2,2,-1,-1,2,2,2,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,2,3,-1,-1,2,2,3,2,-1,2,3,3,-1,-1,3,2,-1,-1,3,2,2,2,-1,2,3,3,-1,-1,3,2,-1,-1,2,3,3,2,-1,3,3
Graph 5,1,-1,1,-1,2,1,1,1,1,1,2,2,2,1,1,-1,1,-1,2,1,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,1,1,1,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,1,2,2,2,3,2,2,1,1,1,-1,1,-1,2,1,1,2,2,3,2,2,2,1,1,-1,1,-1,1,1,1,2,1,2,2,1,1,1,1,-1,1,-1,2,1,1,1,1,2,2,2,1,1,1,-1,2,-1,2,2,2,1,2,2,2,2,2,1,1,-1,1,-1,2,2,1,1,2,2,2,1,2,2,2,-1,2,-1,3,3,2,2,2,2,3,3,2,2,2,-1,2,-1,2,2,2,2,2,2,3,3,2,2,2,-1,2,-1,2,2,1,2,2,1,3,3,2,1,1,-1,1,-1,1,2,1,1,2,2,2,2,2
Graph 6,1,-1,1,-1,2,1,1,1,1,1,2,1,2,1,1,-1,1,-1,2,1,1,1,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,1,1,1,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,2,2,2,2,3,3,2,1,1,-1,1,-1,2,1,2,2,2,3,2,2,2,1,1,-1,1,-1,2,1,1,2,2,2,2,2,2,1,1,-1,1,-1,2,2,1,2,1,2,2,1,1,1,2,-1,2,-1,2,2,2,2,2,3,2,3,1,1,2,-1,2,-1,2,2,2,1,2,3,2,2,2,2,2,-1,2,-1,2,3,2,2,3,3,3,3,2,1,2,-1,2,-1,3,2,2,2,2,2,3,3,2,2,2,-1,2,-1,3,2,2,1,3,2,3,3,2,1,1,-1,1,-1,2,2,2,1,1,2,2,2,2
Graph 7,1,-1,1,2,1,1,1,1,1,1,-1,2,2,1,1,-1,1,2,2,2,1,2,1,2,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,2,2,1,1,2,2,1,-1,2,2,2,2,2,-1,2,2,2,2,1,2,2,-1,3,3,2,1,2,-1,2,2,2,2,2,2,2,-1,2,2,1,1,2,-1,1,2,2,1,2,2,2,-1,3,2,1,1,1,-1,1,2,2,1,1,1,1,-1,2,2,1,1,2,-1,2,1,2,2,1,1,2,-1,2,2,1,1,1,-1,2,2,2,2,1,1,2,-1,3,2,2,1,2,-1,1,2,2,2,1,2,2,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,3,2,3,2,2,3,2,-1,2,2,2,2,-1,2,3,2,2,2,2,2,2,-1,2,2,1,1,-1,2,2,1,1,1,1,2,1,-1,2,2
Graph 8,1,2,1,2,2,1,1,1,1,1,-1,2,2,1,1,2,1,2,2,1,1,1,1,2,-1,2,2,1,2,2,2,3,2,2,3,2,2,3,-1,2,3,2,1,1,2,2,2,1,2,1,1,2,-1,2,2,1,2,2,3,2,2,2,2,2,2,3,-1,3,3,2,2,2,2,2,2,1,2,2,2,2,-1,2,2,2,1,1,2,1,2,1,2,1,1,2,-1,2,2,2,1,1,3,2,2,2,2,1,2,2,-1,2,2,2,1,1,2,1,2,2,1,1,1,2,-1,2,2,1,1,1,2,1,2,2,1,2,1,2,-1,2,2,1,1,2,3,2,3,2,2,2,2,2,-1,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,3,2,2,2,2,2,3,-1,2,2,2,2,3,2,3,2,2,2,2,2,3,-1,2,2,1,1,2,1,2,2,2,2,1,1,1,-1,2,2
Graph 9,1,2,1,-1,1,1,1,1,2,1,-1,2,2,1,1,2,1,-1,2,1,1,1,1,1,-1,2,2,1,2,2,3,-1,2,3,2,2,3,2,-1,3,3,2,1,1,3,-1,2,1,1,1,2,1,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,-1,1,1,1,2,2,-1,2,2,2,1,1,3,1,-1,1,1,2,2,2,-1,2,2,2,1,1,2,1,-1,1,1,1,1,1,-1,2,1,1,1,1,2,1,-1,1,2,1,1,1,-1,1,2,1,2,1,3,2,-1,2,2,1,1,2,-1,2,2,1,1,1,2,1,-1,2,2,1,1,2,-1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,2,-1,2,2,2,1,2,1,-1,2,2,2,2,3,2,-1,2,2,1,2,2,1,-1,2,2,1,1,2,1,-1,2,2,1,1,1,2,-1,2,2
Graph 10,-1,-1,2,-1,2,2,2,1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,2,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,2,-1,2,2,1,2,2,2,2,2,1,1,-1,-1,2,-1,2,2,1,1,1,2,2,2,1,2,-1,-1,2,-1,2,2,2,1,2,2,3,2,2,2,-1,-1,2,-1,2,2,2,1,2,2,2,2,2,2,-1,-1,2,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,2,-1,2,2,2,2,3,2,2,2,2,2,-1,-1,3,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,2,-1,2,2,1,1,2,2,2,2,2
Graph 11,1,2,1,-1,2,1,1,1,1,1,-1,-1,2,2,1,2,1,-1,1,1,1,1,2,1,-1,-1,2,2,2,2,2,-1,3,3,2,2,2,3,-1,-1,3,2,1,1,2,-1,2,1,1,1,1,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,2,-1,2,2,1,2,2,-1,-1,2,1,1,1,3,1,-1,2,1,1,2,2,-1,-1,2,2,1,1,2,1,-1,2,1,1,1,1,-1,-1,2,1,1,1,2,1,-1,1,1,1,1,1,-1,-1,1,1,1,2,2,1,-1,2,2,1,1,2,-1,-1,2,2,1,1,3,2,-1,2,2,1,1,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,2,-1,2,2,2,1,2,1,-1,-1,2,2,2,2,2,-1,1,2,1,1,2,2,-1,-1,2
Graph 12,1,-1,1,-1,2,1,1,1,1,1,2,3,2,1,1,-1,1,-1,2,1,1,1,1,2,2,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,2,1,1,2,2,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,2,2,2,2,3,2,1,1,1,-1,2,-1,2,1,1,2,2,2,3,3,2,1,1,-1,1,-1,2,1,1,2,1,2,3,2,1,1,1,-1,1,-1,2,1,1,1,1,2,3,2,1,1,1,-1,2,-1,2,2,2,1,2,3,3,3,2,1,2,-1,2,-1,2,2,1,1,2,2,3,3,2,2,2,-1,2,-1,2,2,2,2,3,2,4,3,3,3,3,-1,3,-1,3,3,3,3,3,3,4,4,3,2,2,-1,2,-1,2,3,2,2,3,3,3,4,3,1,1,-1,2,-1,1,2,1,1,2,2,3,3,3
Graph 13,1,2,1,2,1,1,2,1,2,2,-1,2,2,1,1,2,1,2,2,1,1,1,1,2,-1,2,2,2,2,2,1,2,2,2,2,2,1,2,-1,2,2,2,1,1,1,2,1,1,1,1,1,2,-1,2,2,2,2,2,2,2,2,1,2,2,2,2,-1,2,2,2,1,2,2,1,2,1,1,1,2,2,-1,2,2,1,1,1,2,1,1,1,1,1,1,2,-1,2,3,1,2,1,2,1,2,1,1,1,2,2,-1,2,2,2,1,1,2,1,2,1,1,1,1,2,-1,2,2,1,2,1,1,1,2,2,1,2,1,2,-1,2,2,1,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,3,2,2,2,2,-1,2,2,1,2,2,2,2,1,1,2,1,1,2,-1,2,2
Graph 14,1,-1,1,-1,1,1,1,1,1,1,2,2,1,1,1,-1,1,-1,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,1,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,2,-1,2,1,2,2,2,3,2,2,2,1,1,-1,1,-1,2,1,1,2,2,3,2,2,2,1,1,-1,1,-1,1,1,1,1,1,2,2,1,1,1,1,-1,1,-1,2,1,1,1,1,2,2,1,1,1,1,-1,1,-1,2,2,1,1,2,2,2,2,2,1,2,-1,2,-1,2,2,1,1,2,2,2,1,1,2,2,-1,2,-1,3,3,2,2,2,2,3,3,2,2,2,-1,2,-1,2,2,2,2,2,2,3,3,2,1,2,-1,2,-1,2,2,1,1,2,1,3,3,2,1,2,-1,1,-1,2,2,1,1,2,1,2,2,2
Graph 15,1,2,1,-1,2,1,1,1,1,1,-1,2,2,1,1,2,1,-1,2,2,1,1,1,1,-1,1,2,1,2,2,2,-1,2,2,2,2,2,2,-1,2,3,2,1,1,2,-1,1,1,1,1,1,1,-1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,-1,1,1,2,2,2,-1,2,2,1,1,2,2,1,-1,1,1,1,2,2,-1,2,2,2,1,1,2,1,-1,1,1,1,2,1,-1,1,1,1,1,1,2,1,-1,2,1,1,1,1,-1,1,2,1,1,1,2,1,-1,2,2,2,1,2,-1,2,2,1,1,1,2,1,-1,2,2,1,1,2,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,-1,2,2,1,1,2,1,-1,2,1,2,2,3,2,-1,2,2,1,2,2,1,-1,2,2,1,1,2,1,-1,1,2,1,1,1,1,-1,1,2
Graph 16,1,-1,1,-1,2,2,1,1,1,1,2,2,2,2,1,-1,1,-1,2,1,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,1,1,1,2,2,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,2,2,2,2,2,2,1,2,1,-1,1,-1,2,1,1,2,2,2,3,2,1,1,1,-1,1,-1,2,1,1,2,2,2,2,2,2,1,1,-1,1,-1,2,1,1,1,2,2,2,2,2,1,1,-1,2,-1,2,2,2,1,2,2,3,2,2,1,2,-1,2,-1,2,2,2,2,2,2,3,2,2,2,2,-1,2,-1,2,2,2,2,2,2,3,3,2,2,2,-1,3,-1,2,3,2,2,3,3,3,3,3,2,2,-1,2,-1,2,2,2,2,2,2,3,3,2,2,1,-1,2,-1,1,1,2,2,2,2,2,3,2
Graph 17,1,-1,2,3,2,2,2,1,2,2,2,2,2,2,1,-1,2,3,2,2,2,2,2,3,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,3,3,3,2,2,2,2,2,2,2,3,3,3,-1,3,3,3,2,3,3,3,3,3,3,3,2,2,-1,3,3,2,2,2,2,2,2,3,3,2,2,2,-1,3,3,2,2,2,2,2,2,3,2,2,2,2,-1,2,2,2,2,1,2,2,2,2,2,1,1,2,-1,2,3,2,2,1,2,2,2,2,2,1,2,2,-1,2,3,2,2,2,2,2,2,3,2,2,2,3,-1,2,3,2,2,2,2,2,2,2,2,2,2,2,-1,2,3,2,2,2,2,2,2,2,2,2,2,2,-1,2,3,3,3,2,2,3,2,2,2,3,2,2,-1,2,3,3,2,2,2,2,2,2,2,2,2,2,-1,3,3,2,2,1,1,2,2,2,3,2
Graph 18,1,-1,1,-1,1,1,1,1,2,1,-1,2,2,1,1,-1,1,-1,1,1,1,1,1,2,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,2,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,2,1,1,1,2,-1,2,2,1,1,1,-1,1,-1,2,1,2,2,2,-1,2,2,1,1,1,-1,1,-1,1,1,1,2,1,-1,2,2,1,1,1,-1,1,-1,1,2,1,1,1,-1,3,2,1,2,1,-1,1,-1,1,2,2,1,2,-1,3,2,2,1,2,-1,2,-1,2,2,1,1,2,-1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,2,3,3,2,-1,2,2,2,2,-1,2,-1,2,2,2,2,2,1,-1,2,2,1,1,-1,2,-1,1,1,1,1,2,1,-1,2,2
Graph 19,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,2,3,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,3,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,3,2,2,1,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2
Graph 20,1,-1,1,-1,2,1,1,1,2,1,-1,2,2,1,1,-1,1,-1,2,1,1,1,1,1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,1,1,1,2,1,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,2,2,2,-1,2,2,1,1,1,-1,1,-1,2,1,1,2,2,-1,2,2,1,1,1,-1,1,-1,2,1,1,1,1,-1,2,2,1,1,1,-1,1,-1,2,1,1,1,1,-1,2,2,2,2,1,-1,2,-1,2,2,1,1,2,-1,2,2,2,1,1,-1,1,-1,2,2,1,1,2,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,2,2,2,2,-1,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,2,2,1,2,-1,1,-1,1,1,1,2,2,2,-1,2,2
