Graph,"('military', 'invader')","('military', 'combative')","('military', 'combatant')","('military', 'airbase')","('military', 'airdefense')","('military', 'army')","('military', 'combat')","('military', 'iraq')","('invader', 'military')","('invader', 'combative')","('invader', 'combatant')","('invader', 'airbase')","('invader', 'airdefense')","('invader', 'army')","('invader', 'combat')","('invader', 'iraq')","('combative', 'military')","('combative', 'invader')","('combative', 'combatant')","('combative', 'airbase')","('combative', 'airdefense')","('combative', 'army')","('combative', 'combat')","('combative', 'iraq')","('combatant', 'military')","('combatant', 'invader')","('combatant', 'combative')","('combatant', 'airbase')","('combatant', 'airdefense')","('combatant', 'army')","('combatant', 'combat')","('combatant', 'iraq')","('airbase', 'military')","('airbase', 'invader')","('airbase', 'combative')","('airbase', 'combatant')","('airbase', 'airdefense')","('airbase', 'army')","('airbase', 'combat')","('airbase', 'iraq')","('airdefense', 'military')","('airdefense', 'invader')","('airdefense', 'combative')","('airdefense', 'combatant')","('airdefense', 'airbase')","('airdefense', 'army')","('airdefense', 'combat')","('airdefense', 'iraq')","('army', 'military')","('army', 'invader')","('army', 'combative')","('army', 'combatant')","('army', 'airbase')","('army', 'airdefense')","('army', 'combat')","('army', 'iraq')","('combat', 'military')","('combat', 'invader')","('combat', 'combative')","('combat', 'combatant')","('combat', 'airbase')","('combat', 'airdefense')","('combat', 'army')","('combat', 'iraq')","('iraq', 'military')","('iraq', 'invader')","('iraq', 'combative')","('iraq', 'combatant')","('iraq', 'airbase')","('iraq', 'airdefense')","('iraq', 'army')","('iraq', 'combat')"
Graph 1,2,-1,-1,-1,-1,2,2,-1,2,-1,-1,-1,-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,2,-1,2,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 3,2,-1,-1,2,-1,2,2,-1,2,-1,-1,2,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,2,-1,2,-1,2,1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 4,2,-1,2,2,-1,2,2,-1,2,-1,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,-1,2,2,-1,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,2,-1,2,-1,2,2,-1,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 5,3,-1,3,-1,3,2,2,-1,3,-1,3,-1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,3,-1,2,3,-1,2,1,-1,2,-1,2,2,-1,2,2,-1,2,-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,3,-1,2,2,-1,-1,2,-1,2,-1,2,1,-1,-1,2,-1,2,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 7,3,-1,3,3,-1,2,2,-1,3,-1,3,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,3,-1,3,2,-1,3,3,-1,3,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,3,1,-1,1,-1,2,2,-1,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,1,-1,-1,2,-1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 9,3,-1,2,-1,3,2,2,-1,3,-1,3,-1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,-1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,3,-1,2,2,-1,2,2,-1,2,-1,2,1,-1,2,2,-1,2,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 10,3,3,3,3,-1,2,2,-1,3,3,3,3,-1,2,2,-1,3,3,3,2,-1,2,2,-1,3,3,3,3,-1,2,2,-1,3,3,2,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,2,-1,2,2,2,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 11,3,3,2,-1,-1,2,2,-1,3,2,2,-1,-1,2,2,-1,3,2,2,-1,-1,2,2,-1,2,2,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,-1,-1,2,-1,2,2,2,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 12,2,-1,2,2,-1,2,2,-1,2,-1,2,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,3,-1,2,2,-1,2,3,-1,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,2,-1,2,-1,2,2,-1,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 13,2,-1,3,3,3,2,2,-1,2,-1,3,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,2,3,2,2,-1,3,3,-1,2,3,2,2,-1,3,3,-1,3,3,2,2,-1,2,2,-1,2,2,2,2,-1,2,2,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 14,2,-1,2,3,-1,2,2,-1,2,-1,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,2,-1,3,2,-1,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,2,-1,1,-1,2,2,-1,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 15,3,-1,-1,-1,-1,3,3,-1,3,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,-1,2,-1,3,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 16,3,-1,2,-1,-1,3,3,-1,3,-1,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,2,-1,-1,2,-1,3,2,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 17,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 18,3,-1,3,3,-1,2,2,-1,3,-1,2,3,-1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,3,-1,2,2,-1,3,3,-1,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,2,-1,2,-1,2,3,-1,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 19,3,-1,3,2,2,2,2,-1,3,-1,3,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,3,3,2,2,-1,2,3,-1,3,3,2,2,-1,2,3,-1,3,3,2,2,-1,2,2,-1,2,2,2,2,-1,2,2,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
